K,ACC,,,,,
43.7,77.75807916,,,,,
43.8,77.76866967,,,,,
43.9,77.75851624,,,,,
44,77.75247636,,,,,
44.1,77.74537108,,,,,
44.2,77.75239797,,,,,
44.3,77.75239797,,,,,
44.4,77.74195134,,,,,
44.5,77.73860999,,,,,
44.6,77.74855566,,,,,
44.7,77.74798377,,,,,
44.8,77.75132512,,,,,
44.9,77.74877592,,,,,
45,77.73825835,,,,,
45.1,77.74174902,,,,,
45.2,77.74551295,,,,,
45.3,77.7325955,,,,,
45.4,77.74056587,,,,,
45.5,77.73388316,,,,,
45.6,77.74410954,,,,,
45.7,77.74076819,,,,,
45.8,77.74205586,,,,,
45.9,77.73799873,,,,,
46,77.73799873,,,,,
46.1,77.73131603,,,,,
46.2,77.72797467,,,,,
46.3,77.7289107,,,,,
46.4,77.71690315,,,,,
46.5,77.70304222,,,,,
46.6,77.7028929,,,,,
46.7,77.70942628,,,,,
46.8,77.71036231,,,,,
46.9,77.71036231,,,,,
47,77.71036231,,,,,
47.1,77.70367961,,,,,
47.2,77.70353029,,,,,
47.3,77.712429,,,,,
47.4,77.71562103,,,,,
47.5,77.71547171,,,,,
47.6,77.70807323,,,,,
47.7,77.71141459,,,,,
47.8,77.71235061,,,,,
47.9,77.71987847,,,,,
48,77.71653711,,,,,
48.1,77.71560109,,,,,
48.2,77.71247999,,,,,
48.3,77.70928796,,,,,
48.4,77.7065185,,,,,
48.5,77.70275457,,,,,
48.6,77.70275457,,,,,
48.7,77.70275457,,,,,
48.8,77.69629212,,,,,
48.9,77.69629212,,,,,
49,77.69941322,,,,,
49.1,77.69941322,,,,,
49.2,77.7065185,,,,,
49.3,77.71376765,,,,,
49.4,77.70651306,,,,,
49.5,77.70274913,,,,,
49.6,77.70594116,,,,,
49.7,77.69485513,,,,,
49.8,77.69485513,,,,,
49.9,77.69151378,,,,,
50,77.69428324,,,,,
